country_code,country_name,horizon_year,region_id,region_name,risk_score,risk_band,people_at_risk,critical_facilities_at_risk,expected_loss_musd,population,critical_facilities,hurricane_score,flood_score,sea_level_score,drivers
JM,Jamaica,2030,kingston,Kingston,78.3,High,74333,11,176.8,93000,14,76.0,90.0,88.0,Floodplain and drainage pressure | Sea-level and storm surge exposure | Critical infrastructure exposure
DM,Dominica,2030,st-george-dm,St. George,69.5,High,15465,5,56.4,21000,7,88.0,79.0,72.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2030,st-paul-dm,St. Paul,55.6,Moderate,5415,2,19.7,8500,3,84.0,68.0,49.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2030,st-david-dm,St. David,59.9,Moderate,4274,2,19.4,6400,3,86.0,72.0,67.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2030,st-patrick-dm,St. Patrick,57.0,Moderate,4788,2,17.8,7400,3,82.0,70.0,62.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2030,st-andrew-dm,St. Andrew,58.1,Moderate,6419,2,22.3,9800,4,83.0,73.0,57.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2035,st-george-dm,St. George,75.1,High,16304,5,59.1,21000,7,88.0,79.0,72.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2035,st-paul-dm,St. Paul,60.1,Moderate,5688,2,20.5,8500,3,84.0,68.0,49.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2035,st-david-dm,St. David,64.7,Moderate,4493,2,20.3,6400,3,86.0,72.0,67.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2035,st-patrick-dm,St. Patrick,61.6,Moderate,5031,2,18.6,7400,3,82.0,70.0,62.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2035,st-andrew-dm,St. Andrew,62.7,Moderate,6741,3,23.2,9800,4,83.0,73.0,57.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2050,st-george-dm,St. George,86.2,Critical,17970,6,64.4,21000,7,88.0,79.0,72.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2050,st-paul-dm,St. Paul,69.0,High,6229,2,22.2,8500,3,84.0,68.0,49.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2050,st-david-dm,St. David,74.3,High,4932,2,22.0,6400,3,86.0,72.0,67.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2050,st-patrick-dm,St. Patrick,70.7,High,5513,2,20.2,7400,3,82.0,70.0,62.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
DM,Dominica,2050,st-andrew-dm,St. Andrew,72.0,High,7391,3,25.2,9800,4,83.0,73.0,57.0,Hurricane corridor stress | Floodplain and drainage pressure | Sea-level and storm surge exposure
